Name,Category,Day,NrOfSegments(Russ),NrOfBranchingPoints(Russ),NrOfLoops,NrOfLoopsNormalised,NrOfLoops/Segment,NrOfLoops/SegmentNormalised,NrOfLoopsI1,NrOfLoopsI2,NrOfLoopsI3,NrOfLoopsI4,NrOfLoopsI5,NrOfLoopsI1Normalised,NrOfLoopsI2Normalised,NrOfLoopsI3Normalised,NrOfLoopsI4Normalised,NrOfLoopsI5Normalised,NrOfLoopsI1/Segment,NrOfLoopsI2/Segment,NrOfLoopsI3/Segment,NrOfLoopsI4/Segment,NrOfLoopsI5/Segment,NrOfLoopsI1Normalised/Segment,NrOfLoopsI2Normalised/Segment,NrOfLoopsI3Normalised/Segment,NrOfLoopsI4Normalised/Segment,NrOfLoopsI5Normalised/Segment,NrOfShortBars,NrOfShortBars/Segment,NrOfShortBarsNormalised,NrOfShortBars/SegmentNormalised,MedianPersistenceDim2,MedianPersistenceDim2Normalised,Radius1000,Radius,RadiusNormalised,CountNormalised,AvgDiameterNormalised,MaxDiameterNormalised,AvgLengthNormalised,MaxLengthNormalised,AvgClrNormalised,AvgSOAMNormalised,LengthDiamRatioNormalised,NrOfSegments(Russ)Normalised,NrOfBranchingPoints(Russ)Normalised
51_3A,DC101,0,3315,3449,175,1,0.052790347,1,28,38,75,31,3,1,1,1,1,1,0.1547,0.0395,0.0486,0.0182,0.0019,1,1,1,1,1,1916,0.578,1,1,0.68,1,3.1933,3193.3,1,1,1,1,1,1,1,1,1,1,1
51_3A,DC101,1,5230,5149,343,1.96,0.065583174,1.242332694,26,83,99,104,31,0.928571429,2.184210526,1.32,3.35483871,10.33333333,0.0598,0.0493,0.0407,0.039,0.0121,0.386554622,1.248101266,0.83744856,2.142857143,6.368421053,2706,0.5174,1.412317328,0.8952,0.7595,1.116911765,3.5267,3526.7,1.1044061,1.577677225,0.982068907,1.171029989,1.028184664,1.399360133,0.997547025,0.964685952,1.04695776,1.577677225,1.492896492
51_3A,DC101,2,2613,2652,182,1.04,0.069651741,1.319402977,21,41,83,27,10,0.75,1.078947368,1.106666667,0.870967742,3.333333333,0.1243,0.0527,0.0689,0.0221,0.0072,0.803490627,1.334177215,1.417695473,1.214285714,3.789473684,1029,0.3938,0.537056367,0.6813,0.6,0.882352941,3.6097,3609.7,1.130398021,0.788235294,1.056744723,1.117790034,1.121722752,1.660758266,1.029885369,0.927646676,1.061488861,0.788235294,0.768918527
51_3A,DC101,3,1813,1844,109,0.622857143,0.060121346,1.138870067,15,23,42,23,6,0.535714286,0.605263158,0.56,0.741935484,2,0.1531,0.0375,0.0463,0.0273,0.0062,0.989657401,0.949367089,0.952674897,1.5,3.263157895,823,0.4539,0.42954071,0.7854,0.62,0.911764706,4.0211,4021.1,1.259230263,0.546907994,1.305148737,1.673139948,1.225832563,1.328278313,1.012200225,0.920497246,0.939228249,0.546907994,0.534647724
51_3A,DC101,4,1313,1361,79,0.451428571,0.060167555,1.139745397,8,12,30,21,8,0.285714286,0.315789474,0.4,0.677419355,2.666666667,0.087,0.0401,0.0497,0.0357,0.011,0.562378798,1.015189873,1.022633745,1.961538462,5.789473684,543,0.4136,0.283402923,0.7155,0.755,1.110294118,4.1632,4163.2,1.303729684,0.396078431,1.543275334,1.923273409,1.219815575,2.092588972,1.026021239,0.958582564,0.790406967,0.396078431,0.394607133
52_2F,DC101,0,3824,3807,315,1,0.082374477,1,18,80,108,73,36,1,1,1,1,1,0.1406,0.1282,0.1079,0.0388,0.0215,1,1,1,1,1,1952,0.5105,1,1,0.71,1,3.6125,3612.5,1,1,1,1,1,1,1,1,1,1,1
52_2F,DC101,1,3659,3757,241,0.765079365,0.06586499,0.799580069,22,63,93,52,11,1.222222222,0.7875,0.861111111,0.712328767,0.305555556,0.1497,0.098,0.07,0.0287,0.0064,1.064722617,0.764430577,0.648748842,0.739690722,0.297674419,1724,0.4712,0.883196721,0.923,0.72,1.014084507,3.7224,3722.4,1.030422145,1.259967051,0.998849571,1.176274145,1.073984844,1.150680519,1.024553824,0.964260959,1.075221811,0.956851464,0.986866299
52_2F,DC101,2,1110,1395,36,0.114285714,0.032432432,0.393719428,2,8,13,12,1,0.111111111,0.1,0.12037037,0.164383562,0.027777778,0.1111,0.0432,0.0291,0.0232,0.0017,0.790184922,0.336973479,0.269694161,0.597938144,0.079069767,448,0.4036,0.229508197,0.7907,0.623,0.877464789,3.8313,3831.3,1.060567474,1.205601318,0.973037119,1.091675683,1.180371313,1.259600458,1.054346767,0.912996434,1.213079429,0.290271967,0.36643026
52_2F,DC101,3,449,544,16,0.050793651,0.035634744,0.432594479,1,4,7,2,2,0.055555556,0.05,0.064814815,0.02739726,0.055555556,0.1,0.0426,0.0402,0.0101,0.0083,0.711237553,0.332293292,0.372567192,0.260309278,0.386046512,178,0.3964,0.091188525,0.7766,0.9,1.267605634,5.4477,5447.7,1.508013841,0.365733114,0.953034643,0.927152126,1.237710548,1.018610143,1.0457272,0.920920101,1.298704676,0.117416318,0.142894668
54_2D,DC101,0,4692,4456,393,1,0.083759591,1,62,143,106,66,16,1,1,1,1,1,0.104,0.0701,0.0508,0.0256,0.0076,1,1,1,1,1,2651,0.565,1,1,0.773,1,3.0271,3027.1,1,1,1,1,1,1,1,1,1,1,1
